Date,Open,High,Low,Close
06.07.2015,10571.80,10653.70,10496.00,10540.10
03.07.2015,10835.70,10860.70,10730.00,10779.80
02.07.2015,10932.00,10960.70,10835.50,10846.40
01.07.2015,10857.70,11036.90,10784.30,10911.50
30.06.2015,10811.60,10954.50,10723.20,10769.50
29.06.2015,11148.40,11202.60,10816.40,10853.90
26.06.2015,11238.70,11434.80,11199.90,11372.30
25.06.2015,11245.00,11441.30,11213.10,11308.40
24.06.2015,11419.00,11420.10,11220.40,11321.90
23.06.2015,11461.50,11497.10,11384.50,11402.50
22.06.2015,11184.50,11394.20,11168.90,11368.20
19.06.2015,10890.70,11029.10,10880.80,10944.30
18.06.2015,10788.50,10888.40,10654.30,10871.90
17.06.2015,10900.00,10933.90,10779.50,10813.40
16.06.2015,10766.00,10895.50,10659.70,10871.40
15.06.2015,10893.60,10939.90,10775.60,10842.10
12.06.2015,11124.50,11159.30,10932.60,11030.50
11.06.2015,11097.60,11231.30,11085.10,11156.70
10.06.2015,10879.90,11138.40,10854.40,11097.50
09.06.2015,10895.00,10945.00,10750.00,10938.10
08.06.2015,11022.80,11056.10,10917.30,10917.30
05.06.2015,11061.50,11127.90,10984.10,11062.00
04.06.2015,11201.20,11292.70,11070.00,11146.10
03.06.2015,11302.90,11361.80,11201.10,11267.60
02.06.2015,11314.50,11369.10,11151.30,11271.40
01.06.2015,11264.80,11343.20,11180.50,11238.10
29.05.2015,11375.60,11402.70,11192.10,11217.60
28.05.2015,11387.90,11450.70,11291.90,11382.80
27.05.2015,11281.70,11467.80,11247.20,11431.10
26.05.2015,11297.10,11344.70,11169.40,11240.30
25.05.2015,11421.20,11455.30,11262.10,11322.30
22.05.2015,11594.70,11609.90,11533.70,11554.20
21.05.2015,11517.90,11595.40,11515.70,11595.40
20.05.2015,11505.10,11588.70,11460.60,11574.10
19.05.2015,11406.10,11537.80,11404.00,11497.70
18.05.2015,11336.80,11368.00,11203.10,11345.00
15.05.2015,11438.80,11438.80,11265.90,11317.30
14.05.2015,11304.60,11428.30,11203.90,11398.70
13.05.2015,11366.00,11430.90,11282.40,11324.60
12.05.2015,11332.00,11354.00,11221.50,11322.60
11.05.2015,11433.70,11481.60,11377.70,11445.80
08.05.2015,11260.80,11424.70,11212.90,11424.70
07.05.2015,11125.10,11214.80,10928.20,11180.30
06.05.2015,11100.40,11232.80,11048.30,11163.60
05.05.2015,11416.40,11503.90,11102.90,11115.60
04.05.2015,11377.10,11501.80,11280.50,11429.10
30.04.2015,11351.10,11469.20,11258.00,11385.00
29.04.2015,11619.00,11651.90,11371.50,11378.90
28.04.2015,11656.00,11684.60,11543.00,11607.70
27.04.2015,11532.00,11679.80,11365.50,11640.20
24.04.2015,11469.60,11605.50,11434.60,11505.40
23.04.2015,11417.50,11461.10,11291.30,11425.80
22.04.2015,11452.20,11480.40,11276.30,11399.20
21.04.2015,11439.00,11504.00,11368.20,11422.30
20.04.2015,11400.20,11418.80,11306.40,11384.60
17.04.2015,11565.50,11598.00,11299.90,11359.40
16.04.2015,11772.30,11772.30,11580.30,11611.70
15.04.2015,11742.40,11815.60,11710.40,11778.40
14.04.2015,11798.50,11862.60,11645.60,11704.70
13.04.2015,11761.70,11884.60,11760.80,11866.40
10.04.2015,11755.30,11778.00,11679.20,11749.30
09.04.2015,11688.40,11747.30,11655.20,11734.60
08.04.2015,11738.40,11771.40,11615.80,11655.50
07.04.2015,11715.60,11771.80,11669.30,11730.50
02.04.2015,11583.60,11649.90,11559.20,11634.00
01.04.2015,11482.00,11662.80,11454.30,11569.80
31.03.2015,11510.80,11596.10,11444.60,11521.10
30.03.2015,11459.80,11543.20,11432.30,11529.10
27.03.2015,11469.70,11524.20,11403.90,11427.40
26.03.2015,11400.40,11453.80,11294.70,11453.80
25.03.2015,11560.70,11591.70,11449.30,11464.70
24.03.2015,11428.50,11618.30,11409.90,11579.30
23.03.2015,11394.00,11465.40,11364.30,11452.80
20.03.2015,11109.80,11458.30,11090.20,11419.60
19.03.2015,11062.90,11146.50,11040.20,11091.00
18.03.2015,11057.40,11076.00,10957.70,11050.00
17.03.2015,11117.50,11129.00,10953.70,11028.10
16.03.2015,11082.40,11146.70,11077.40,11114.70
13.03.2015,11072.90,11077.70,10993.50,11033.80
12.03.2015,11022.90,11068.00,10993.10,11011.80
11.03.2015,10950.30,11048.20,10908.00,11021.80
10.03.2015,11060.50,11081.20,10858.40,10902.20
09.03.2015,11007.90,11078.80,10962.40,11054.20
06.03.2015,11144.50,11158.90,11070.20,11091.90
05.03.2015,11078.10,11154.30,11039.20,11124.40
04.03.2015,11048.10,11079.30,10921.40,11051.30
03.03.2015,11197.60,11212.80,11001.70,11014.70
02.03.2015,11190.50,11239.80,11123.30,11178.50
27.02.2015,11142.90,11184.50,11070.80,11178.30
26.02.2015,11023.30,11145.90,11014.40,11139.50
25.02.2015,11027.90,11072.50,11011.70,11049.50
24.02.2015,11027.70,11082.70,10951.10,11064.50
