Date,Open,High,Low,Close
08.10.2015,4316.18,4358.09,4275.60,4350.15
07.10.2015,4331.87,4342.59,4279.21,4333.46
06.10.2015,4315.32,4332.03,4273.70,4306.70
05.10.2015,4296.54,4339.23,4290.25,4331.43
02.10.2015,4136.96,4267.45,4124.55,4267.45
01.10.2015,4185.28,4194.18,4128.34,4192.96
30.09.2015,4137.18,4181.06,4125.20,4181.06
29.09.2015,4110.26,4155.32,4053.12,4083.37
28.09.2015,4206.68,4207.03,4092.29,4103.47
25.09.2015,4305.39,4308.66,4198.96,4224.74
24.09.2015,4239.85,4275.64,4198.11,4261.11
23.09.2015,4280.01,4294.73,4255.06,4273.53
22.09.2015,4273.30,4286.60,4233.90,4274.10
21.09.2015,4343.77,4372.42,4299.94,4336.13
18.09.2015,4325.29,4374.92,4317.09,4323.86
17.09.2015,4378.99,4450.66,4368.80,4384.96
16.09.2015,4357.36,4388.32,4346.47,4383.67
15.09.2015,4322.41,4373.19,4303.89,4360.28
14.09.2015,4334.86,4334.94,4293.77,4308.76
11.09.2015,4273.62,4323.23,4268.10,4323.23
10.09.2015,4248.48,4326.77,4243.69,4296.30
09.09.2015,4346.36,4352.96,4242.47,4253.45
08.09.2015,4267.40,4306.50,4247.14,4303.53
04.09.2015,4175.62,4210.81,4160.43,4184.72
03.09.2015,4267.34,4300.30,4222.38,4234.65
02.09.2015,4207.68,4256.23,4166.08,4256.23
01.09.2015,4177.94,4229.31,4121.83,4142.63
31.08.2015,4299.88,4324.74,4262.09,4274.58
28.08.2015,4307.05,4340.70,4295.56,4329.12
27.08.2015,4281.63,4328.99,4231.14,4324.82
26.08.2015,4141.24,4227.86,4052.55,4219.60
25.08.2015,4187.28,4207.38,4015.91,4016.32
24.08.2015,3847.12,4199.79,3787.23,4038.60
21.08.2015,4313.19,4361.32,4197.27,4197.27
20.08.2015,4467.79,4484.36,4385.13,4385.13
19.08.2015,4525.32,4550.67,4486.11,4510.90
18.08.2015,4556.23,4562.15,4536.05,4542.07
17.08.2015,4516.88,4568.59,4507.98,4566.37
14.08.2015,4512.88,4536.20,4503.83,4530.74
13.08.2015,4536.96,4556.14,4514.45,4519.32
12.08.2015,4475.91,4539.18,4436.54,4528.19
11.08.2015,4548.75,4567.69,4491.06,4513.99
10.08.2015,4558.68,4583.63,4554.63,4573.11
07.08.2015,4519.36,4532.46,4485.50,4520.08
06.08.2015,4608.69,4612.62,4508.30,4528.51
05.08.2015,4592.81,4634.70,4590.19,4602.24
04.08.2015,4573.25,4584.45,4551.90,4567.47
03.08.2015,4595.26,4607.52,4549.60,4580.46
31.07.2015,4616.48,4616.48,4584.22,4588.91
30.07.2015,4570.77,4606.65,4540.98,4598.59
29.07.2015,4570.50,4586.78,4552.76,4581.60
28.07.2015,4539.47,4568.79,4506.19,4560.23
27.07.2015,4530.37,4551.99,4511.92,4519.09
24.07.2015,4630.95,4632.06,4552.40,4557.37
23.07.2015,4627.56,4641.58,4592.50,4602.83
22.07.2015,4604.97,4643.83,4604.53,4623.24
21.07.2015,4679.54,4686.36,4661.76,4674.41
20.07.2015,4670.23,4694.13,4657.98,4679.68
17.07.2015,4635.48,4661.60,4624.68,4661.60
